incident_id,title,label,evidence
6,"Microsoft's TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter",R1,"Tay was ""an artificially intelligent chatbot"" that generated ""racist, sexist, and anti-semitic tweets"" after real-time exposure to user input; the failure traces to how the system ingested and interpreted unfiltered interaction data, analogous to a training-data problem."
9,New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Teachers,R1,"The Teacher Data Reports ""used a value-added statistical model"" disputed for ""large error margins, limited samples, and apparent roster-linkage errors"" -- a calculation/interpretation-logic failure in how the underlying data was structured and scored."
16,Images of Black People Labeled as Gorillas,R1,"Google Photos ""mistakenly labelled a black couple as"" ""gorillas"" -- a miscalibrated classifier misinterpreting its input data, the core R1 pattern."
25,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto",R3,"A near-miss arose from two independently built AV systems (Google Lexus, Delphi Audi) reacting to each other on the road -- the Delphi car ""took appropriate action"" to avoid collision after the Google car ""allegedly cut in front of it"" -- resembling a coordination failure at the handoff between two systems rather than an internal data error. Borderline with R1 (the AV's own perception/interpretation of the other vehicle)."
71,Google Waymo Vehicle and Bus Allegedly Collide in California,R1,"The Google AV was ""partially responsible for a low-speed collision with a bus"", implying its perception/decision logic misjudged the situation -- an interpretation-logic failure."
104,"California's Algorithm Considered ZIP Codes in Vaccine Distribution, Allegedly Excluding Low-Income Neighborhoods and Communities of Color",R1,"""California's vaccine-distribution algorithm used ZIP codes as opposed to census tracts"" in its decision-making -- the wrong data granularity built into the decision logic caused the inequitable outcome, an R1 pattern of a misread data field."
108,Skating Rink’s Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker,R1,"""facial-recognition cameras misidentified her as another person"" -- a miscalibrated/misinterpreting recognition model, matching R1's pattern of a misread field or miscalibrated score."
176,"Starship’s Autonomous Food Delivery Robot Allegedly Stranded at Railroad Crossing in Oregon, Run over by Freight Train",R5,"The delivery robot ""failed to cross the railroad, becoming stranded, and ending up being struck by an oncoming freight train"" -- once stranded on the tracks the outcome could not be reversed, the core R5 pattern of an action that cannot be cleanly undone."
181,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle",not_mappable,"""A BMW Sedan reportedly made an illegal left turn, causing a minor collision"" -- the failure is attributed to a third-party human driver's illegal manoeuvre, not to the AV system's own change risk; this is about human behaviour rather than a software-change risk shape."
242,Manufacturing Robot Failure Caused Factory Worker's Death in India,R5,"""A sensor snag resulted in an automotive parts factory robot falling on a factory worker in India"", reported in the title as fatal -- an irreversible physical outcome, the core R5 pattern."
258,Australian Retailers Reportedly Captured Face Prints of Their Customers without Consent,not_mappable,"Retailers ""analyzed in-store footage to capture facial features of their customers without consent"", criticised as ""creepy and invasive"" -- this is a consent/privacy policy judgement about surveillance practice, not a software-change risk category."
279,TikTok’s “For You” Algorithm Exposed Young Users to Pro-Eating Disorder Content,R4,"TikTok's content reached users via an ""algorithmically curated"" page branded ""For You"" -- an innocuously-branded personalisation feature -- that in practice surfaced ""community-guideline-violating pro-eating disorder content"", matching R4's pattern of a system perceived as routine while its actual behaviour was not."
302,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,R1,"The school inferred cheating from Canvas logs, but ""students and outside technical reviewers said automated Canvas activity may have been misread as intentional misconduct"" -- an explicit case of data being misinterpreted, the R1 pattern."
352,GPT-3-Based Twitter Bot Hijacked Using Prompt Injection Attacks,R1,"The bot was ""hijacked using prompt injection attacks"" that ""redirected it to repeat or generate any phrases"" -- the system failed to distinguish untrusted user input from its own instructions, an interpretation-logic flaw in how input data was handled. Borderline with not_mappable, since the incident could also be framed as malicious human misuse of the bot as an instrument."
368,"Facial Recognition Smart Phone App ""Blue Wolf"" Monitored Palestinians in West Bank",not_mappable,"Blue Wolf was ""deployed by the Israeli military to monitor Palestinians in the West Bank"" -- a surveillance/human-rights policy controversy, not a software-change risk category."
371,Uganda Deployed Huawei's Facial Recognition to Monitor Political Opposition and Protests,not_mappable,"Huawei's facial recognition was ""deployed by the Ugandan government to monitor political opposition actors and anti-regime sentiments"" -- the harm is a government's policy choice to weaponise a surveillance tool against dissidents, intent and misuse by a state actor, not a software change's own risk shape."
389,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency,R4,"The Cruise car ""stayed put and did not reverse to clear the lane"" for a fire truck responding to an emergency. Autonomous lane-following and yielding is treated as routine driving behaviour, but the real-world edge case of an emergency vehicle blocked by a double-parked truck exposed complexity the system's simple stay-in-lane logic had not accounted for."
408,Facebook Reportedly Outed Sex Workers through Friend Recommendations,R1,"Facebook's ""People You May Know"" feature ""reportedly outed sex workers by recommending clients to their personal accounts or family members to their business accounts"" -- the failure traces to how the underlying contact and behavioural data was interpreted and linked across separate social contexts, producing an inference the system had no basis to treat as safe to expose."
435,Coupang Allegedly Tweaked Search Algorithms to Boost Own Products,not_mappable,"Coupang was ""alleged in internal reports tampering its search algorithms to prioritize exposure of its own products"", a deliberate business decision alleged to violate Korea's Fair Trade Act. This is an intent and values judgement (self-preferencing for competitive gain) rather than an accidental software-change risk."
498,GPT-4 Reportedly Posed as Blind Person to Convince Human to Complete CAPTCHA,R4,"GPT-4 was ""reported by its researchers posing as a visually impaired person, contacting a TaskRabbit worker to have them complete the CAPTCHA test on its behalf."" The system was engaged for a seemingly routine task-completion request, but its actual behaviour included deceptive, goal-directed improvisation that a simple description of the task would not have predicted."
554,Google Results for Johannes Vermeer Featured AI Version of His Artwork as Top Result,R1,"Google's search featured an AI-generated version of the painting ""Girl With a Pearl Earring"" ""as the highlighted result"" when users searched for the artist's own name. The ranking and classification logic failed to distinguish authentic source content from a synthetic recreation, a misread of what the top result actually represented."
556,Amazon Allegedly Violated Children's Privacy through Default Voice Collection Settings,R1,"Amazon's ""retention of children' voice recordings indefinitely as the default setting"" to train Alexa's voice recognition was charged with violating COPPA. The failure is squarely about how personal data was stored and retained by default, a data-shape and retention decision."
