incident_id,title,description
6,"Microsoft's TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter","Microsoft's Tay, an artificially intelligent chatbot, was released on March 23, 2016 and removed within 24 hours due to multiple racist, sexist, and anti-semitic tweets generated by the bot."
9,New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Teachers,"After a legal dispute over public-records requests, the New York City Department of Education released Teacher Data Reports that used a value-added statistical model to rate thousands of public-school teachers based on estimated student test-score growth. News outlets published the ratings in February 2012, and teachers, unions, and analysts disputed the scores as imprecise and potentially misleading, citing large error margins, limited samples, and apparent roster-linkage errors."
16,Images of Black People Labeled as Gorillas,"Google Photos image processing software mistakenly labelled a black couple as ""gorillas."""
25,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto","A Delphi self-driving Audi Q5 prototype reportedly aborted a lane change after a Google self-driving Lexus RX400h allegedly cut in front of it on San Antonio Road in Palo Alto, California. According to Delphi executive John Absmeier, the Delphi car ""took appropriate action"" to avoid collision. No crash or injuries occurred."
71,Google Waymo Vehicle and Bus Allegedly Collide in California,"On February 14, 2016, a Google autonomous test vehicle partially responsible for a low-speed collision with a bus on El Camino Real in Google’s hometown of Mountain View, CA."
104,"California's Algorithm Considered ZIP Codes in Vaccine Distribution, Allegedly Excluding Low-Income Neighborhoods and Communities of Color","California's vaccine-distribution algorithm used ZIP codes as opposed to census tracts in its decision-making, which critics said undermined equity and access for vulnerable communities who are largely low-income, underserved neighborhoods with low Healthy Places Index scores."
108,Skating Rink’s Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker,"A Black teenager living in Livonia, Michigan was incorrectly stopped from entering a roller skating rink after its facial-recognition cameras misidentified her as another person who had been previously banned for starting a skirmish with other skaters."
176,"Starship’s Autonomous Food Delivery Robot Allegedly Stranded at Railroad Crossing in Oregon, Run over by Freight Train"," A Starship food delivery robot deployed by Oregon State University reportedly failed to cross the railroad, becoming stranded, and ending up being struck by an oncoming freight train."
181,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle","A BMW Sedan reportedly made an illegal left turn, causing a minor collision but no injuries with a Cruise autonomous vehicle (AV) operating in autonomous mode."
242,Manufacturing Robot Failure Caused Factory Worker's Death in India,A sensor snag resulted in an automotive parts factory robot falling on a factory worker in India
258,Australian Retailers Reportedly Captured Face Prints of Their Customers without Consent,"Major Australian retailers reportedly analyzed in-store footage to capture facial features of their customers without consent, which was criticized by consumer groups as creepy and invasive."
279,TikTok’s “For You” Algorithm Exposed Young Users to Pro-Eating Disorder Content,TikTok’s young users were allegedly exposed to community-guideline-violating pro-eating disorder content on their algorithmically curated “For You” page that serves videos from any user on its platform.
302,Dartmouth's Geisel School of Medicine Reportedly Used Canvas Activity Logs to Accuse Students of Cheating,"Dartmouth's Geisel School of Medicine reportedly used Canvas learning-management activity logs and an internal analysis process to investigate remote-exam cheating during the 2020–2021 academic year. Seventeen medical students were charged after the school inferred that they accessed course materials during exams, but students and outside technical reviewers said automated Canvas activity may have been misread as intentional misconduct. Dartmouth later dropped the charges."
352,GPT-3-Based Twitter Bot Hijacked Using Prompt Injection Attacks,Remoteli.io's GPT-3-based Twitter bot was shown being hijacked by Twitter users who redirected it to repeat or generate any phrases.
368,"Facial Recognition Smart Phone App ""Blue Wolf"" Monitored Palestinians in West Bank","A controversial surveillance program involving facial recognition and algorithmic recommendation, Blue Wolf, was deployed by the Israeli military to monitor Palestinians in the West Bank."
371,Uganda Deployed Huawei's Facial Recognition to Monitor Political Opposition and Protests,"Huawei's AI systems involving facial recognition were reportedly deployed by the Ugandan government to monitor political opposition actors and anti-regime sentiments, which raised fears of surveillance and suppression of individual freedoms."
389,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency,A fire truck in San Francisco responding to a fire was blocked from passing a doubled-parked garbage truck by a self-driving Cruise car on the opposing lane which stayed put and did not reverse to clear the lane.
408,Facebook Reportedly Outed Sex Workers through Friend Recommendations,"Facebook's ""People You May Know"" feature reportedly outed sex workers by recommending clients to their personal accounts or family members to their business accounts with no option to opt out."
435,Coupang Allegedly Tweaked Search Algorithms to Boost Own Products,"Coupang was alleged in internal reports tampering its search algorithms to prioritize exposure of its own products, which potentially violated Korea's Fair Trade Act."
498,GPT-4 Reportedly Posed as Blind Person to Convince Human to Complete CAPTCHA,"GPT-4 was reported by its researchers posing as a visually impaired person, contacting a TaskRabbit worker to have them complete the CAPTCHA test on its behalf."
554,Google Results for Johannes Vermeer Featured AI Version of His Artwork as Top Result,"Google's search engine featured an AI-generated hyperrealistic version of the painting ""Girl With a Pearl Earring"" as the highlighted result when users search for its Dutch artist Johannes Vermeer."
556,Amazon Allegedly Violated Children's Privacy through Default Voice Collection Settings,Amazon's retention of children' voice recordings indefinitely as the default setting reportedly to train Alexa's voice recognition for Alexa-enabled devices was charged by the FTC and DOJ to violate COPPA Rule.
578,Alleged Exploitation of Meta's Open-Source LLaMA Model for NSFW and Violent Content,"Meta's open-source large language model, LLaMA, is allegedly being used to create graphic and explicit chatbots that indulge in violent and illegal sexual fantasies. The Washington Post highlighted the example of ""Allie,"" a chatbot that participates in text-based role-playing allegedly involving violent scenarios like rape and abuse. The issue raises ethical questions about open-source AI models, their regulation, and the responsibility of developers and deployers in mitigating harmful usage."
592,Facial Recognition Misidentifies Pregnant Woman Leading to False Arrest in Detroit,"Porcha Woodruff was arrested and subsequently had charges dropped due to an unreliable facial recognition match. Despite being visibly pregnant, she was implicated in a robbery and carjacking based on an outdated photo used in a lineup."
599,Stacking robot fatally crushes employee in South Korea,An industrial robot is reported to have crushed a man to death in South Korea when it failed to differentiate the man from the boxes of produce it was handling.
695,Donald Trump's Presidential Campaign Released Deepfakes Attacking Ron DeSantis,"Former President Donald Trump released two AI-generated videos using deepfaked voices to mock Florida Governor Ron DeSantis. The first video, posted on platforms like Rumble and Instagram, depicted a chaotic and offensive fake Twitter Spaces event featuring deepfaked voices of Elon Musk, George Soros, Klaus Schwab, Dick Cheney, Adolf Hitler, and a generated voice of Satan. The second video showed a rocket with ""Ron 2024"" written beside it falling and exploding before liftoff. "
736,Underground Market for LLMs Powers Malware and Phishing Scams,"A study by Indiana University researchers uncovered widespread misuse of large language models (LLMs) for cybercrime. Cybercriminals, according to that study, use LLMs like OpenAI's GPT-3.5 and GPT-4 to create malware, phishing scams, and scam websites. These models are available on underground markets, often bypassing safety checks through jailbreaking. Named malicious LLMs are BadGPT, XXXGPT, Evil-GPT, WormGPT, FraudGPT, BLACKHATGPT, EscapeGPT, DarkGPT, and WolfGPT."
755,Purported Deepfake Targets Olena Zelenska in Alleged Russian Disinformation Campaign,"A purported deepfake video falsely suggesting that Olena Zelenska, wife of Ukrainian President Volodymyr Zelenskyy, purchased a luxury car, reportedly circulated widely online. The video is reportedly part of a Russian-linked disinformation campaign aimed at undermining Ukraine and its supporters. "
767,AI Image of Kamala Harris at DNC with Communist Flags Circulated by Trump,Donald Trump shared an AI-generated image on social media that falsely depicted Kamala Harris speaking at a DNC event surrounded by communist imagery including the hammer and sickle of the Soviet Union. The image was intended to undermine Harris ahead of the Democratic National Convention and to suggest that her views are aligned with communism.
785,ESPN's AI Coverage Overlooks Alex Morgan in Her Final Match Recap,"ESPN's AI-generated recap of Alex Morgan’s final professional soccer match failed to mention her significant retirement moment, instead providing a standard rundown that missed the emotional context."
811,AI-Powered Transcription Services Allegedly Leak Confidential Workplace Discussions,"AI-powered meeting assistants, such as Otter.ai's OtterPilot and Zoom's AI Companion, have reportedly shared sensitive and private conversations beyond the intended audience. These tools, which are set to automatically record and distribute meeting transcripts, allegedly sent confidential discussions after participants had left the meeting, the consequences of which led to unintended exposure of proprietary information and privacy breaches."
825,AI News Site Hoodline San Jose Erroneously Misidentifies San Mateo District Attorney as Murder Suspect,"An AI-powered news site, Hoodline San Jose, falsely reported that the San Mateo County District Attorney had been charged with murder, which was an error resulting from misinterpreting a press release about a case the DA's office was prosecuting. The AI-generated article wrongly attributed the crime to the DA instead of the actual suspect."
838,Microsoft Copilot Allegedly Provides Unsafe Medical Advice with High Risk of Severe Harm,"Microsoft Copilot, when asked medical questions, was reportedly found to provide accurate information only 54% of the time, according to European researchers (citation provided in editor's notes). Analysis by the researchers reported that 42% of Copilot's responses could cause moderate to severe harm, with 22% of responses posing a risk of death or severe injury."
872,AI Voice Cloning of Ari Melber Allegedly Exploited in Scam Targeting Elderly Woman,"A scammer allegedly impersonated MSNBC anchor Ari Melber using AI-generated voice messages and a fake social media profile to defraud a 73-year-old woman, Patricia Taylor. Over four months, the scammer reportedly manipulated her into believing they were in a relationship, ultimately convincing her to send $20,000."
892,Apple Intelligence Allegedly Flags Scam Messages as High Priority,"Apple’s AI notification summarization and prioritization feature, part of the Apple Intelligence update, has reportedly flagged scam and phishing messages as high-priority, and is allegedly misleading users into trusting fraudulent communications. By rephrasing and condensing messages, the system is allegedly amplifying scam risks inadvertently and reportedly increasing the likelihood of financial harm for users."
923,"Nottingham Gallery Owner Allegedly Defrauded by Deepfake Impersonating Pierce Brosnan, Reportedly Leading to Business Closure","Nottingham gallery owner Simone Simms was allegedly deceived over many months by a deepfake impersonating actor Pierce Brosnan. Believing she was in direct contact with Brosnan, she reportedly arranged an art exhibition and sold £20,000 in tickets. When the real Brosnan denied involvement, Simms reportedly canceled the event and issued refunds. Despite acting in good faith, she reportedly faced reputational and financial harm, which led to the gallery’s closure in August 2024."
969,Russian Disinformation Campaign Allegedly Used Fake News Site 'KBSF-San Francisco News' and Deepfake Video to Falsely Accuse Kamala Harris of 2011 Hit-and-Run,"A Russian disinformation campaign allegedly used a fake news site, ""KBSF-San Francisco News,"" and an AI-generated deepfake video to falsely accuse Kamala Harris of a 2011 hit-and-run accident in San Francisco. The deepfake featured a fabricated African-American victim, whose AI-generated testimony spread widely across social media. Microsoft identified the hoax as part of Russian cyber influence operations targeting the 2024 U.S. election, with the site registered in Iceland."
